team,usage_role,player,games,targets,target_share,target_share_weekly_mean,target_share_weekly_median,receptions,catch_rate,receiving_yards,yards_per_game,receiving_yards_median,receiving_yards_std,yards_rank_team,receiving_tds,games_with_td,td_game_rate,td_consistency_rank_team,stat_season,data_status
NE,WR1,DeMario Douglas,1,7,0.22580645161290322,0.22580645161290322,0.22580645161290322,5,0.7142857142857143,20,20.0,20.0,0.0,3,0,0,0.0,1,2026,CURRENT_2026
NE,WR2,Mack Hollins,1,5,0.16129032258064516,0.16129032258064516,0.16129032258064516,4,0.8,51,51.0,51.0,0.0,1,0,0,0.0,2,2026,CURRENT_2026
NE,WR3,A.J. Brown,1,4,0.12903225806451613,0.12903225806451613,0.12903225806451613,3,0.75,26,26.0,26.0,0.0,2,0,0,0.0,3,2026,CURRENT_2026
SEA,WR1,Jaxon Smith-Njigba,1,11,0.4583333333333333,0.4583333333333333,0.4583333333333333,8,0.7272727272727273,122,122.0,122.0,0.0,1,1,1,1.0,1,2026,CURRENT_2026
SEA,WR2,Cooper Kupp,1,3,0.125,0.125,0.125,2,0.6666666666666666,35,35.0,35.0,0.0,2,0,0,0.0,2,2026,CURRENT_2026
SEA,WR3,Rashid Shaheed,1,3,0.125,0.125,0.125,1,0.3333333333333333,4,4.0,4.0,0.0,3,0,0,0.0,3,2026,CURRENT_2026
